source_system,validation_mode,curve_family,execution_month,target_tenor_months,target_tenor_label,trade_count,unique_trade_ids,median_rate_pct,mean_rate_pct,notional_weighted_avg_rate_pct,notional_weighted_avg_rate_decimal,min_rate_pct,max_rate_pct,median_notional_usd,total_notional_usd
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,360,30Y,42,42,2.4385000000000003,2.4435607142857143,2.4417739677958874,0.0244177396779588,2.406,2.5,3000000.0,121972000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-01,12,1Y,33,33,3.2147,2.947633333333333,2.7881937432259334,0.0278819374322593,2.42,3.435,3000000.0,101490000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-01,24,2Y,20,20,2.50375,2.58397,2.597695294117647,0.0259769529411764,2.3965,2.9412,5000000.0,85000000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-01,36,3Y,16,16,2.74492,2.73359875,2.730905757818765,0.0273090575781876,2.573,2.74492,2500000.0,37410000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-01,60,5Y,112,112,2.463,2.472758125,2.471711421442601,0.024717114214426,2.25,2.7675,2000000.0,243879000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-01,120,10Y,148,148,2.4707,2.47905695945946,2.47609062703663,0.0247609062703662,2.384,2.66,3000000.0,397409000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-01,240,20Y,11,11,2.438,2.4321363636363635,2.4660326155794805,0.0246603261557948,2.4,2.513,190000.0,15790000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-01,360,30Y,140,140,2.45385,2.4575142857142858,2.459510228496232,0.0245951022849623,2.3903,2.69,3000000.0,417950000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-02,12,1Y,29,29,2.42,2.447241379310345,2.4483571428571427,0.0244835714285714,2.3925,2.5225,5000000.0,140000000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-02,24,2Y,16,16,2.4105,2.4065306250000003,2.405220161922173,0.0240522016192217,2.35749,2.422,2500000.0,38290000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-02,36,3Y,16,16,2.5614,2.5798375,2.61987588262265,0.0261987588262265,2.3453,2.84,3000000.0,43620000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-02,43,43M,2,2,2.41,2.41,2.41,0.0241,2.41,2.41,3000000.0,6000000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-02,48,4Y,2,2,2.57525,2.57525,2.576527972027972,0.0257652797202797,2.5645,2.586,715000.0,1430000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-02,60,5Y,73,73,2.4053,2.4160456164383564,2.431982686954908,0.024319826869549,2.25,2.6968,2000000.0,161670000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-02,120,10Y,73,73,2.4753,2.46085898630137,2.459681426243271,0.0245968142624327,2.3795,2.593,3000000.0,202490000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2026-02,360,30Y,61,61,2.4117,2.422033770491803,2.419228930242564,0.0241922893024256,2.3805,2.5,3000000.0,185930000.0
