dissemination_identifier,execution_timestamp_utc,execution_month,effective_date,expiration_date,tenor_days,tenor_months_rounded,tenor_years_exact,tenor_label,swap_format_inferred,fixed_rate_decimal,fixed_rate_pct,notional_usd,currency,underlier_name_norm,index_family_norm,cpi_lag_months_inferred,index_convention_inferred,source_file,platform_identifier,cleared
1427226835000000101,2025-12-12T13:07:19Z,2025-12,2025-12-15,2030-12-15,1826,60,4.999316,5Y,YYIS,0.024,2.4,2000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1427660311000000601,2025-12-12T13:31:32Z,2025-12,2025-12-16,2055-12-16,10957,360,29.998631,30Y,YYIS,0.024525,2.4525,70000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428280549000002101,2025-12-12T14:45:19Z,2025-12,2025-12-15,2030-12-15,1826,60,4.999316,5Y,YYIS,0.024,2.4,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428304850000000301,2025-12-12T14:50:54Z,2025-12,2025-12-16,2035-12-16,3652,120,9.998631,10Y,YYIS,0.024565,2.4565,310000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342311000000201,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02648,2.648,230000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342312000000301,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02648,2.648,270000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342313000000401,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.0253625,2.53625,920000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342314000000501,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.026695,2.6695,230000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342315000000601,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.025615,2.5615,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342316000000701,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02641,2.641,4000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342317000000801,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.027235,2.7235,440000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342318000000901,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.0253125,2.53125,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342319000001001,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02648,2.648,340000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342320000001101,2025-12-12T14:58:51Z,2025-12,2025-04-09,2029-04-09,1461,48,4.0,4Y,YYIS,0.023964,2.3964,120000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342321000001201,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02684,2.684,2000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342322000001301,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.026695,2.6695,820000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342323000001401,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.026875,2.6875,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342324000001501,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02685,2.685,46000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342325000001601,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.027235,2.7235,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342326000001701,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.026695,2.6695,3000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342327000001801,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.026695,2.6695,330000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428342328000001901,2025-12-12T14:58:51Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02648,2.648,4000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428346374000000501,2025-12-12T14:59:26Z,2025-12,2025-12-15,2035-12-15,3652,120,9.998631,10Y,YYIS,0.024,2.4,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428468985000001001,2025-12-12T15:20:30Z,2025-12,2025-09-15,2055-09-15,10957,360,29.998631,30Y,YYIS,0.024663,2.4663,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1428688328000001501,2025-12-12T15:50:20Z,2025-12,2025-12-12,2026-12-12,365,12,0.999316,1Y,YYIS,0.02499,2.499,2000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1430405800000000101,2025-12-12T19:39:15Z,2025-12,2025-12-16,2035-12-16,3652,120,9.998631,10Y,YYIS,0.02455,2.455,4000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1430407179000000401,2025-12-12T19:39:39Z,2025-12,2025-12-16,2035-12-16,3652,120,9.998631,10Y,YYIS,0.02457,2.457,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,GSEF,I
1430465415000000701,2025-12-12T19:52:18Z,2025-12,2025-12-01,2035-12-01,3652,120,9.998631,10Y,YYIS,0.025,2.5,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1430465416000000801,2025-12-12T19:52:18Z,2025-12,2025-12-01,2035-12-01,3652,120,9.998631,10Y,YYIS,0.025,2.5,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1430539461000000401,2025-12-12T20:03:31Z,2025-12,2025-12-01,2030-12-01,1826,60,4.999316,5Y,YYIS,0.025,2.5,600000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1430539462000000501,2025-12-12T20:03:31Z,2025-12,2025-12-01,2030-12-01,1826,60,4.999316,5Y,YYIS,0.025,2.5,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1430679882000001101,2025-12-12T20:30:02Z,2025-12,2025-12-11,2030-12-11,1826,60,4.999316,5Y,YYIS,0.024235,2.4235,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1442939234000001201,2025-12-15T13:45:45Z,2025-12,2025-12-17,2040-12-17,5479,180,15.000684,15Y,YYIS,0.024598,2.4598,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443066364000001301,2025-12-15T14:45:39Z,2025-12,2025-12-15,2030-12-15,1826,60,4.999316,5Y,YYIS,0.024,2.4,2000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068373000000201,2025-12-15T14:47:37Z,2025-12,2025-09-18,2035-09-18,3652,120,9.998631,10Y,YYIS,0.02549,2.549,190000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068374000000301,2025-12-15T14:47:37Z,2025-12,2025-09-03,2035-09-03,3652,120,9.998631,10Y,YYIS,0.0259329,2.59329,100000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068375000000401,2025-12-15T14:47:37Z,2025-12,2025-09-03,2035-09-03,3652,120,9.998631,10Y,YYIS,0.0259329,2.59329,360000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068378000000701,2025-12-15T14:47:37Z,2025-12,2025-09-19,2035-09-19,3652,120,9.998631,10Y,YYIS,0.025397,2.5397,200000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068379000000801,2025-12-15T14:47:37Z,2025-12,2025-09-18,2035-09-18,3652,120,9.998631,10Y,YYIS,0.025492,2.5492,70000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068381000001001,2025-12-15T14:47:37Z,2025-12,2025-08-28,2035-08-28,3652,120,9.998631,10Y,YYIS,0.025908,2.5908,510000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068382000001101,2025-12-15T14:47:37Z,2025-12,2025-09-22,2035-09-22,3652,120,9.998631,10Y,YYIS,0.0256104,2.56104,200000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068383000001201,2025-12-15T14:47:37Z,2025-12,2025-08-01,2035-08-01,3652,120,9.998631,10Y,YYIS,0.02611,2.611,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443068384000001301,2025-12-15T14:47:37Z,2025-12,2025-08-27,2035-08-27,3652,120,9.998631,10Y,YYIS,0.02554,2.554,2000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443069019000000101,2025-12-15T14:47:37Z,2025-12,2025-09-18,2035-09-18,3652,120,9.998631,10Y,ZCIS,0.02549,2.549,190000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443069028000001001,2025-12-15T14:47:37Z,2025-12,2025-09-03,2035-09-03,3652,120,9.998631,10Y,ZCIS,0.0259329,2.59329,100000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443069515000000701,2025-12-15T14:47:37Z,2025-12,2025-09-03,2035-09-03,3652,120,9.998631,10Y,ZCIS,0.0259329,2.59329,360000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443069767000000201,2025-12-15T14:47:37Z,2025-12,2025-09-18,2035-09-18,3652,120,9.998631,10Y,ZCIS,0.025492,2.5492,70000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443069775000001001,2025-12-15T14:47:37Z,2025-12,2025-09-19,2035-09-19,3652,120,9.998631,10Y,ZCIS,0.025397,2.5397,200000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443070190000000101,2025-12-15T14:47:37Z,2025-12,2025-08-01,2035-08-01,3652,120,9.998631,10Y,ZCIS,0.02611,2.611,1000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443070191000000201,2025-12-15T14:47:37Z,2025-12,2025-08-28,2035-08-28,3652,120,9.998631,10Y,ZCIS,0.025908,2.5908,510000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443070193000000401,2025-12-15T14:47:37Z,2025-12,2025-08-27,2035-08-27,3652,120,9.998631,10Y,ZCIS,0.02554,2.554,2000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443070194000000501,2025-12-15T14:47:37Z,2025-12,2025-09-22,2035-09-22,3652,120,9.998631,10Y,ZCIS,0.0256104,2.56104,200000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443092973000001301,2025-12-15T15:02:10Z,2025-12,2025-12-15,2035-12-15,3652,120,9.998631,10Y,YYIS,0.024,2.4,900000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443093890000000301,2025-12-15T15:02:10Z,2025-12,2025-12-15,2035-12-15,3652,120,9.998631,10Y,Likely ZCIS,0.024,2.4,900000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,BILT,I
1443120051000000801,2025-12-15T15:17:51Z,2025-12,2025-12-15,2055-12-15,10957,360,29.998631,30Y,YYIS,0.025,2.5,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443120052000000901,2025-12-15T15:17:51Z,2025-12,2025-12-15,2030-12-15,1826,60,4.999316,5Y,YYIS,0.025,2.5,4000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443120053000001001,2025-12-15T15:17:51Z,2025-12,2025-12-15,2035-12-15,3652,120,9.998631,10Y,YYIS,0.025,2.5,800000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1443122124000000201,2025-12-15T15:18:33Z,2025-12,2025-09-15,2055-09-15,10957,360,29.998631,30Y,YYIS,0.02463,2.463,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445030620000000201,2025-12-15T19:31:22Z,2025-12,2025-12-01,2035-12-01,3652,120,9.998631,10Y,YYIS,0.025,2.5,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445030621000000301,2025-12-15T19:31:22Z,2025-12,2025-12-01,2035-12-01,3652,120,9.998631,10Y,YYIS,0.025,2.5,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445050388000000201,2025-12-15T19:41:03Z,2025-12,2025-12-01,2030-12-01,1826,60,4.999316,5Y,YYIS,0.025,2.5,2000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445050389000000301,2025-12-15T19:41:03Z,2025-12,2025-12-01,2030-12-01,1826,60,4.999316,5Y,YYIS,0.025,2.5,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445071864000000601,2025-12-15T19:44:57Z,2025-12,2025-12-17,2055-12-17,10957,360,29.998631,30Y,YYIS,0.0245,2.45,2000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445155307000000301,2025-12-15T20:13:28Z,2025-12,2025-11-25,2027-11-25,730,24,1.998631,2Y,YYIS,0.024905,2.4905,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189656000000301,2025-12-15T20:59:21Z,2025-12,2025-12-17,2026-12-17,365,12,0.999316,1Y,ZCIS,0.0235,2.35,5000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,BGCD,I
1445189657000000401,2025-12-15T20:59:21Z,2025-12,2025-12-17,2026-12-17,365,12,0.999316,1Y,ZCIS,0.0235,2.35,5000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,BGCD,N
1446155233000000101,2025-12-15T20:59:21Z,2025-12,2025-12-17,2026-12-17,365,12,0.999316,1Y,ZCIS,0.0235,2.35,5000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,BGCD,I
1445189861000000201,2025-12-15T20:59:35Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02685,2.685,130000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189862000000301,2025-12-15T20:59:35Z,2025-12,2025-01-29,2027-01-29,730,24,1.998631,2Y,YYIS,0.02589,2.589,3000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189863000000401,2025-12-15T20:59:35Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.027235,2.7235,260000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189864000000501,2025-12-15T20:59:35Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.026875,2.6875,260000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189865000000601,2025-12-15T20:59:35Z,2025-12,2022-12-12,2027-12-12,1826,60,4.999316,5Y,YYIS,0.026065,2.6065,800000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189866000000701,2025-12-15T20:59:35Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.026875,2.6875,400000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189867000000801,2025-12-15T20:59:35Z,2025-12,2025-05-12,2027-05-12,730,24,1.998631,2Y,YYIS,0.029152,2.9152,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189868000000901,2025-12-15T20:59:35Z,2025-12,2025-07-17,2030-07-17,1826,60,4.999316,5Y,YYIS,0.02689,2.689,200000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189869000001001,2025-12-15T20:59:35Z,2025-12,2024-04-15,2027-04-15,1095,36,2.997947,3Y,YYIS,0.02899,2.899,200000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189870000001101,2025-12-15T20:59:35Z,2025-12,2024-04-15,2029-04-15,1826,60,4.999316,5Y,YYIS,0.02641,2.641,400000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189871000001201,2025-12-15T20:59:35Z,2025-12,2025-07-17,2030-07-17,1826,60,4.999316,5Y,YYIS,0.02689,2.689,400000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1445189872000001301,2025-12-15T20:59:42Z,2025-12,2025-01-15,2028-01-15,1095,36,2.997947,3Y,YYIS,0.025952,2.5952,400000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1457218386000000301,2025-12-16T13:39:11Z,2025-12,2025-12-15,2035-12-15,3652,120,9.998631,10Y,YYIS,0.024,2.4,4000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1457877196000000101,2025-12-16T14:54:12Z,2025-12,2025-12-15,2035-12-15,3652,120,9.998631,10Y,YYIS,0.024,2.4,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1457920962000000601,2025-12-16T15:00:42Z,2025-12,2025-12-15,2030-12-15,1826,60,4.999316,5Y,YYIS,0.024,2.4,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1458095560000000901,2025-12-16T15:27:15Z,2025-12,2025-12-15,2035-12-15,3652,120,9.998631,10Y,YYIS,0.025,2.5,500000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1458095561000001001,2025-12-16T15:27:15Z,2025-12,2025-12-15,2030-12-15,1826,60,4.999316,5Y,YYIS,0.025,2.5,3000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1458095562000001101,2025-12-16T15:27:15Z,2025-12,2025-12-15,2055-12-15,10957,360,29.998631,30Y,YYIS,0.025,2.5,900000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1458197761000000101,2025-12-16T15:55:54Z,2025-12,2025-12-18,2055-12-18,10957,360,29.998631,30Y,YYIS,0.02444,2.444,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1458282913000000601,2025-12-16T16:39:43Z,2025-12,2024-07-22,2039-07-22,5478,180,14.997947,15Y,YYIS,0.02525,2.525,2000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1458292263000000601,2025-12-16T16:43:27Z,2025-12,2025-12-18,2055-12-18,10957,360,29.998631,30Y,YYIS,0.024435,2.4435,3000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1458295936000000701,2025-12-16T16:44:25Z,2025-12,2025-12-18,2035-12-18,3652,120,9.998631,10Y,YYIS,0.0242,2.42,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
